Section,Category,Formula Name,Excel Formula,Formula Description,Definition,Input Variables,Output,Example Value,Notes
,Page 1 - Savings,Savings Rate,=([Net Annual Savings]/[Total Annual Income])*100,"Savings Rate = (Net Annual Savings / Total Annual Income) × 100","Percentage of income saved annually","Net Savings, Total Income",%,42.3,"Higher % = faster FIRE"
,Page 1 - Savings,Monthly Savings,=[Net Annual Savings]/12,"Monthly Savings = Net Annual Savings ÷ 12","Average monthly investment amount",Net Annual Savings,₹,141669,"Used for FIRE calculator"
,Page 2 - Balance,Total Assets,=I26,"Total Assets = SUM(Mutual Funds, FD, House, PF, Gold, etc.)","Current market value of all assets owned",Individual asset values,₹,17600000,"1L = 1,00,000; 1Cr = 1,00,00,000"
,Page 2 - Balance,Total Liabilities,=I27,"Total Liabilities = SUM(House Loan, Personal Loan, Education Loan, Car Loan, etc.)","Outstanding principal on all loans",Individual liability values,₹,8500000,"Only principal, not interest"
,Page 2 - Balance,Net Worth,=[Total Assets]-[Total Liabilities],"Net Worth = Total Assets - Total Liabilities","Current financial position","Total Assets, Total Liabilities",₹,9100000,"Starting point for FIRE calculation"
,Page 2 - Visual,Balance Tilt,=MIN(15,MAX(-15,([Total Assets]-[Total Liabilities])/1000000)),"Balance Tilt = MIN(15, MAX(-15, (Assets - Liabilities) / 1,000,000))","Visual representation of asset/liability balance","Total Assets, Total Liabilities",degrees,9.1,"Range: -15° to +15°"
,Page 4 - FIRE,Retirement Expense Today,=[Total Annual Expenses]*(I29/100),"Retirement Expense = Annual Expenses × (Retirement % ÷ 100)","Expected annual expenses during retirement","Annual Expenses, Retirement %",₹,1854380,"Default 80% (lower in retirement)"
,Page 4 - FIRE,FI Target Today,=[Retirement Expense Today]*25,"FI Target = Retirement Expense Today × 25","Portfolio needed for financial independence (4% rule)",Retirement Expense Today,₹,46359500,"Based on Trinity Study / 4% SWR"
,Page 4 - FIRE,Safe Withdrawal Rate,=[FI Target Today]*0.04,"Safe Withdrawal = FI Target × 0.04","Annual amount that can be safely withdrawn",FI Target,₹,1854380,"Inverse of 25× rule"
,Page 4 - Simulation,Initial Wealth (Year 0),=[Net Worth],"Initial Wealth = Net Worth","Starting portfolio value from Page 2",Net Worth,₹,9100000,"From Assets - Liabilities"
,Page 4 - Simulation,Initial Annual Savings,=[Monthly Savings]*12,"Initial Savings = Monthly Savings × 12","Annual investment capacity",Monthly Savings,₹,1700028,"From Page 1 calculations"
,Page 4 - Simulation,Market Crash Impact,=[Initial Wealth]*(1-(I34/100)),"Wealth After Crash = Initial Wealth × (1 - Crash% ÷ 100)","Immediate portfolio decline in Year 1 only","Starting Wealth, Crash %",₹,9100000,"Only applied in Year 0 if Crash% > 0"
,Page 4 - Simulation,Savings Multiplier - Base,=1,"Base Multiplier = 1.0","Default multiplier when no shocks",None,multiplier,1,"Modified by various scenarios"
,Page 4 - Simulation,Savings Multiplier - Job Gap,=1-(I38/100),"Job Gap Multiplier = 1 - (Income Loss% ÷ 100)","Reduction during unemployment period","Income Loss %, Gap Duration",multiplier,0,"If 100% loss: 1.0 × 0 = 0 (zero savings)"
,Page 4 - Simulation,Savings Multiplier - Post Gap,=1-(I40/100),"Post-Gap Multiplier = 1 - (Post Loss% ÷ 100)","Reduced income after returning to work","Post-Gap Loss %, Duration",multiplier,1,"If 20% loss: 1.0 × 0.80 = 0.80"
,Page 4 - Simulation,Savings Multiplier - Caregiving,=0,"Caregiving Multiplier = 0","Complete cessation of savings",Caregiving Duration,multiplier,0,"No savings possible during caregiving"
,Page 4 - Simulation,Savings Multiplier - Rate Shock,=1-(I35/100),"Rate Shock Multiplier = 1 - (Shock% ÷ 100)","Temporary savings reduction for first 3 years",Savings Rate Shock %,multiplier,1,"Only first 3 years"
,Page 4 - Simulation,Annual Wealth Growth - Step 1,=[Previous Wealth]+([Annual Savings]*[Savings Multiplier]),"Wealth After Savings = Previous Wealth + (Annual Savings × Savings Multiplier)","Add current year's savings to portfolio","Previous Wealth, Annual Savings",₹,10800025,"Savings added before returns"
,Page 4 - Simulation,Annual Wealth Growth - Step 2,=[Wealth]-I41,"Wealth After Emergency = Wealth - One-Time Emergency","Subtract emergency expense in first year only","Wealth, Emergency Amount",₹,10800025,"Only Year 0 if emergency > 0"
,Page 4 - Simulation,Annual Wealth Growth - Step 3,=[Wealth]-(I42*12),"Wealth After Medical = Wealth - (Medical Monthly × 12)","Subtract recurring medical costs","Wealth, Medical Expenses",₹,10800025,"For Medical Duration years"
,Page 4 - Simulation,Annual Wealth Growth - Step 4,=[Wealth]*(1+(I30/100)),"Wealth After Returns = Wealth × (1 + ROI% ÷ 100)","Apply investment returns",Wealth and ROI %,₹,12096028,"Compounded annually"
,Page 4 - Simulation,Annual Savings Growth,=[Previous Savings]*(1+(I32/100)),"Next Year Savings = Previous Savings × (1 + Income Growth% ÷ 100)","Income and savings increase over time","Previous Savings, Growth %",₹,1819027,"For next year calculation"
,Page 4 - Simulation,Annual Expense Growth,=[Previous Expenses]*(1+(I33/100)),"Next Year Expenses = Previous Expenses × (1 + Expense Growth% ÷ 100)","Living costs increase over time","Previous Expenses, Growth %",₹,2457054,"For FI target adjustment"
,Page 4 - Simulation,Inflation-Adjusted Retirement Expense,=[Retirement Expense Today]*POWER(1+(I31/100),[Year Number]),"Future Retirement Expense = Retirement Expense Today × (1 + Inflation%)^Years","Future value of retirement expenses","Base Retirement Expense, Years",₹,"Varies by year","Year n calculation"
,Page 4 - Simulation,FI Target in Year n,=[Retirement Expense Year n]*25,"FI Target (Year n) = Retirement Expense (Year n) × 25","Moving target that grows with inflation",Inflation-Adjusted Retirement Expense,₹,"Varies by year","Must exceed this to achieve FIRE"
,Page 4 - Simulation,FIRE Achievement Test,=IF([Wealth]>=[FI Target Year n],"FIRE!","Continue"),"IF Wealth ≥ FI Target THEN FIRE Achieved ELSE Continue","Check if financial independence achieved","Current Wealth, FI Target",Boolean,"Yes/No","Simulation stops when true"
,Page 4 - Simulation,FIRE Age,=I28+[Year Number],"FIRE Age = Current Age + Number of Years","Age at which FIRE is achieved","Starting Age, Years",years,"Varies","When Wealth ≥ FI Target"
,Page 4 - Simulation,Time to FI,=[Year Number],"Time to FI = Number of Years","Number of years until FIRE",Simulation year counter,years,"Varies","Duration of accumulation phase"
,Page 4 - Stress,Portfolio ROI Formula,=[Previous Wealth]*(1+(I30/100)),"Wealth(n) = Wealth(n-1) × (1 + ROI% ÷ 100)","Annual nominal investment returns",Wealth and ROI %,₹,11200000,"Typical: 8-15%"
,Page 4 - Stress,Inflation Impact Formula,=[Base Expense]*POWER(1+(I31/100),[Years]),"Expense(n) = Expense(0) × (1 + Inflation%)^Years","Purchasing power erosion over time","Base Expense, Years",₹,"Varies","India typical: 5-7%"
,Page 4 - Stress,Real Return,=((1+(I30/100))/(1+(I31/100)))-1,"Real Return = [(1 + Nominal ROI) ÷ (1 + Inflation)] - 1","Inflation-adjusted actual returns","Nominal ROI, Inflation",%,5.66,"True wealth growth"
,Page 4 - Stress,Income Growth Formula,=[Previous Savings]*(1+(I32/100)),"Savings(n) = Savings(n-1) × (1 + Growth% ÷ 100)","Annual salary increases","Previous Savings, Growth %",₹,1819027,"Early career: 8-12%"
,Page 4 - Stress,Expense Growth Formula,=[Previous Expenses]*(1+(I33/100)),"Expenses(n) = Expenses(n-1) × (1 + Growth% ÷ 100)","Lifestyle inflation","Previous Expenses, Growth %",₹,2457054,"Should be ≤ Inflation"
,Page 4 - Stress,Max Age Check,=IF((I28+[Years])>I36,"Stop - Too Old","Continue Working"),"IF (Current Age + Years) > Max Age THEN Stop ELSE Continue","Determine if FIRE achievable within working years","Current Age, Max Age",Boolean,"Continue","Typical max: 60-65"
,Page 4 - Scenario,Job Gap Impact,=[Annual Savings]*(I38/100),"Lost Savings = Annual Savings × (Loss% ÷ 100)","Lost savings during unemployment","Savings, Loss %, Duration",₹,0,"100% loss typical; applies for Gap Years"
,Page 4 - Scenario,Post-Gap Reduction,=[Annual Savings]*(1-(I40/100)),"Reduced Savings = Annual Savings × (1 - Reduction% ÷ 100)","Lower pay after career break","Savings, Reduction %",₹,1700025,"20-30% reduction common"
,Page 4 - Scenario,Emergency Expense,=[Wealth]-I41,"Remaining Wealth = Wealth - One-Time Emergency","Immediate large expense in Year 1",Wealth and Emergency Cost,₹,9100000,"Medical/family emergency"
,Page 4 - Scenario,Medical Recurring Annual,=I42*12,"Annual Medical = Monthly Medical × 12","Ongoing medical treatment costs per year",Monthly Cost,₹,0,"Plus lost investment opportunity"
,Page 4 - Scenario,Caregiving Total Impact,=[Annual Savings]*I44,"Lost Savings = Annual Savings × Caregiving Years","Complete loss of income for care responsibilities",Duration in years,₹,0,"Plus opportunity cost of not investing"
,Formatting,Currency - Crores Display,=[Amount]/10000000,"Display as Crores = Amount ÷ 10,000,000","Display amounts ≥ 1 Crore",Amount in rupees,Cr,15.00,"1 Cr = 1,00,00,000"
,Formatting,Currency - Lakhs Display,=[Amount]/100000,"Display as Lakhs = Amount ÷ 100,000","Display amounts ≥ 1 Lakh",Amount in rupees,L,50.00,"1 L = 1,00,000"
,Formatting,Currency - Standard,=TEXT([Amount],"#,##,##,##,###"),"Display with Indian Format","Display amounts < 1 Lakh with commas",Amount in rupees,₹,45000,"Indian number format (Lakhs system)"
,Assumptions,4% Rule,=[Annual Expenses]/0.04,"Required Portfolio = Annual Expenses ÷ 0.04","Safe withdrawal rate from portfolio",Annual Expenses,₹,50000000,"Trinity Study (1998)"
,Assumptions,25x Rule,=[Annual Expenses]*25,"Required Portfolio = Annual Expenses × 25","Inverse of 4% rule (same result)",Annual Expenses,₹,50000000,"Same as 4% rule"
,Assumptions,Withdrawal Formula,=[Portfolio Value]*0.04,"Annual Withdrawal = Portfolio Value × 0.04","Annual safe withdrawal amount",Portfolio Value,₹,2000000,"Inflation-adjusted yearly"
,Assumptions,Retirement Expense Ratio,=[Current Expenses]*(I29/100),"Retirement Expenses = Current Expenses × (Ratio% ÷ 100)","Expected retirement spending",Current Expenses,₹,2400000,"60-70% frugal, 80% normal, 100%+ luxury"

SIMULATION TEMPLATE,,,,,,,,,
,Year-by-Year Simulation,Year 0 - Starting Wealth,=[Net Worth],"Starting Wealth = Net Worth","Beginning of accumulation",Net Worth,₹,9100000,"From Page 2"
,Year-by-Year Simulation,Year 0 - Add Savings,=[Year 0 Wealth]+[Initial Annual Savings],"Wealth + Savings","Add annual contribution",Wealth + Savings,₹,10800025,"Before returns"
,Year-by-Year Simulation,Year 0 - Apply Crash,=[After Savings]*(1-(I34/100)),"Wealth × (1 - Crash%)","Market crash if any",After crash,₹,10800025,"Only Year 0"
,Year-by-Year Simulation,Year 0 - Subtract Emergency,=[After Crash]-I41,"Wealth - Emergency","One-time expense",After emergency,₹,10800025,"Only Year 0"
,Year-by-Year Simulation,Year 0 - Apply Returns,=[After Emergency]*(1+(I30/100)),"Wealth × (1 + ROI%)","Investment growth",After returns,₹,12096028,"Year-end wealth"
,Year-by-Year Simulation,Year 0 - FI Target,=[Retirement Expense Today]*25,"Retirement Expense × 25","FI target for this year",FI Target,₹,46359500,"Inflation-adjusted"
,Year-by-Year Simulation,Year 0 - FIRE Check,=IF([Year 0 Wealth]>=[Year 0 FI Target],"FIRE!","Continue"),"Check if FIRE achieved","Compare wealth to target",Status,"Continue","Not yet FIRE"
,Year-by-Year Simulation,Year 1 - Starting Wealth,=[Year 0 Ending Wealth],"Previous year end = This year start","Carry forward",Wealth,₹,12096028,"From previous year"
,Year-by-Year Simulation,Year 1 - Annual Savings,=[Initial Annual Savings]*(1+(I32/100)),"Savings × (1 + Income Growth%)","Grown savings",Savings,₹,1819027,"Income increased"
,Year-by-Year Simulation,Year 1 - Add Savings,=[Year 1 Wealth]+[Year 1 Savings],"Wealth + Savings","Add contribution",Total,₹,13915055,"Before returns"
,Year-by-Year Simulation,Year 1 - Apply Returns,=[After Savings]*(1+(I30/100)),"Wealth × (1 + ROI%)","Investment growth",After returns,₹,15584862,"Year-end wealth"
,Year-by-Year Simulation,Year 1 - Retirement Expense,=[Retirement Expense Today]*(1+(I31/100)),"Retirement Exp × (1 + Inflation%)","Inflated expense",Expense,₹,1965643,"Grown with inflation"
,Year-by-Year Simulation,Year 1 - FI Target,=[Year 1 Retirement Expense]*25,"Retirement Expense × 25","FI target for this year",FI Target,₹,49141075,"Inflation-adjusted"
,Year-by-Year Simulation,Year 1 - FIRE Check,=IF([Year 1 Wealth]>=[Year 1 FI Target],"FIRE!","Continue"),"Check if FIRE achieved","Compare wealth to target",Status,"Continue","Not yet FIRE"
,"",NOTE: Continue this pattern for each year until FIRE is achieved or Max Working Age is reached,,,,,,,"Copy row structure for Year 2, 3, 4... until FIRE"

INSTRUCTIONS,,,,,,,,,
,"",Step 1: Enter Your Data,,"Fill in all INPUT VARIABLES cells (I11 through I44)","Your personal financial data",,,,"Yellow highlighted cells"
,"",Step 2: Review Calculations,,"All CALCULATED FORMULAS will auto-update","Formulas reference your inputs",,,,"No manual entry needed"
,"",Step 3: Run Simulation,,"Use SIMULATION TEMPLATE to project year-by-year","Copy template rows for each year",,,,"Continue until FIRE achieved"
,"",Step 4: Test Scenarios,,"Change input values to see impact","What-if analysis",,,,"Adjust ROI, inflation, etc."
,"",Excel Tips,,"Use Data > What-If Analysis > Data Table for sensitivity","Test multiple scenarios",,,,"Advanced Excel feature"
,"",Cell References,,"Replace [Named References] with actual cell addresses","E.g., [Total Income] becomes C37",,,,"Update formula references"
