Category,Formula Name,Formula,Definition,Input Variables,Output,Example Calculation,Notes
Page 4 - Scenario,Emergency Expense,Wealth - One-Time Amount,Immediate large expense,Wealth and Emergency Cost,Remaining Wealth (₹),"₹91,00,000 - ₹10,00,000 = ₹81,00,000",Medical/family emergency
Page 4 - Scenario,Medical Recurring,"Wealth - (Monthly Cost × 12) for Duration",Ongoing medical treatment costs,Monthly Cost and Duration,Annual Impact (₹),₹20,000 × 12 = ₹2,40,000/year,Plus lost investment opportunity
Page 4 - Scenario,Caregiving Impact,Savings Multiplier = 0,Complete loss of income for care responsibilities,Duration in years,Lost Savings,"₹17,00,025 × 3 = ₹51,00,075 over 3 years",Plus opportunity cost
Formatting,Currency - Crores,amount / 10,000,000,Display amounts >= 1 Crore,Amount in rupees,Display String,₹150,000,000 → ₹15.00 Cr,1 Cr = 1,00,00,000
Formatting,Currency - Lakhs,amount / 100,000,Display amounts >= 1 Lakh,Amount in rupees,Display String,₹5,000,000 → ₹50.00 L,1 L = 1,00,000
Formatting,Currency - Standard,amount.toLocaleString('en-IN'),Display amounts < 1 Lakh,Amount in rupees,Display String,₹45,000 → ₹45,000,Indian number format
Assumptions,4% Rule,Required Portfolio = Annual Expenses / 0.04,Safe withdrawal rate from portfolio,Annual Expenses,Portfolio Size (₹),₹20,00,000 / 0.04 = ₹5,00,00,000,Trinity Study (1998)
Assumptions,25x Rule,Required Portfolio = Annual Expenses × 25,Inverse of 4% rule,Annual Expenses,Portfolio Size (₹),₹20,00,000 × 25 = ₹5,00,00,000,Same as 4% rule
Assumptions,Withdrawal Formula,Portfolio Value × 0.04,Annual safe withdrawal amount,Portfolio Value,Annual Withdrawal (₹),₹5,00,00,000 × 0.04 = ₹20,00,000,Inflation-adjusted yearly
Assumptions,Retirement Expense Ratio,Current Expenses × Ratio,Expected retirement spending,Current Expenses,Retirement Expenses (₹),₹30,00,000 × 0.80 = ₹24,00,000,"60-70% frugal, 80% normal, 100%+ luxury"
